paper,scope,theme,dimension,dimension2,hexcode,markers,sub_Markers,hashtag
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Policy,practice,504000,Pesticides,Actions to ban or restrict pesticides and toxic chemicals under the Stockholm Convention (25-point scale),"government, farm_management, pest, environment, regulation"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Practice,practice,504000,Soil Health,Share of arable land under soil conservation practices (percent),"land, farm_management"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Practice,practice,504000,Soil Health,Share of cropland under conservation agriculture (eg. Organic soil cover greater than 30 percent immediately after planting) (percent),"land, farm_management, conservation"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Practice,practice,504000,Nutrients,Share of agricultural land under nutrient management practices (percent),"land, farm_management, product"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Practice,practice,596480,Pesticides,Share of cropland under integrated pest management (percent),"land, farm_management, environment"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,practice,596480,Soil Health,Share of agricultural land affected by soil erosion (percent),"land, soil"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,practice,596480,Soil Health,Percent change in net primary productivity (NPP) across agricultural land (percent),"land, product"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,practice,596480,Soil Health,Soil organic matter (carbon) content (tons of carbon per hectare),soil
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,practice,596480,Nutrients,Nutrient input balances on agriculturla land (i.e. difference between nitrogen and phosphorus inputs and outputs) (kilograms of N and P per hectare of agricultural land ),"land, soil"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,practice,596480,Nutrients,Fertilizer applied per unit of arable land (tons of nutrients oer hectare of arable land),fertilizer
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,practice,377B99,Pesticides,Pesticide use per unit of cropland (tons of active ingredient applied per hectare),"pest, environment"
world happiness report,global,UN happiness,social environment,wellbeing,E0F1ED,trust,measured by a perceived absence of corruption in government and business,social
world happiness report,global,UN happiness,social environment,wellbeing,CDEAE6,perceived freedom to make life decisions,,social
world happiness report,global,UN happiness,social environment,wellbeing,CDEAE7,generosity,measured by recent donations,social
world happiness report,global,UN happiness,Health,wellbeing,CDEAE8,healthy years of life expectancy,,personal_well_being
world happiness report,global,UN happiness,Economy,finance,CDEAE9,GDP per capita,,government
world happiness report,global,UN happiness,social environment,finance,87CAD2,social support,measured by having someone to count on it times of trouble,social
CDIS methodology,countries,UN culture,Gender,wellbeing,87CAD3,Gender equality outputs,"Index of the gaps between women and men in political, education and labor domains and in gender-equity legislative frameworks (objective outputs):","equality, social"
CDIS methodology,countries,UN culture,Gender,wellbeing,87CAD4,Perception of gender equality (descriptive),when jobs are scarce: men should have more right to a job than women,"equality, social"
CDIS methodology,countries,UN culture,Gender,wellbeing,87CAD5,Perception of gender equality (descriptive),Men make better political leaders than women do,"equality, social"
CDIS methodology,countries,UN culture,Gender,wellbeing,87CAD6,Perception of gender equality (descriptive),university is more important for a boy than for a girl,"equality, social"
CDIS methodology,countries,UN culture,Communication,wellbeing,87CAD7,Freedom of expression,"the overall ""press freddom score""",social
CDIS methodology,countries,UN culture,Communication,wellbeing,5EB4CA,Freedom of expression,"the three scores of your country for the categories of legal, policical and economic environemnt",social
CDIS methodology,countries,UN culture,Communication,wellbeing,5EB4CA,Access and Internet use,Percentage of individuals using the Internet,infrastructure
CDIS methodology,countries,UN culture,Communication,wellbeing,5EB4CA,Diversity of media content (descriptive),total number of broadcasting hours dedicated to domestic fiction programmes on national public TV channels,media
CDIS methodology,countries,UN culture,Communication,wellbeing,5EB4CA,Diversity of media content (descriptive),total number of broadcasting hours dedicated to co-produced fiction programmes on national public TV channels,media
CDIS methodology,countries,UN culture,Communication,wellbeing,4A92B3,Diversity of media content (descriptive),total number of broadcasting hours dedicated to foreign fiction programmes on national public TV channels,media
CDIS methodology,countries,UN culture,Education,wellbeing,4A92B4,Inclusive Education,"Index of average years of schooling of the population between the ages of 17 and 22, adjusted to reflect inequalities","education, equality"
CDIS methodology,countries,UN culture,Education,wellbeing,4A92B5,Multilingual education (descriptive),Percentage of instructional hours dedicated to promoting multilingualism in relation to the total number of instructional hours dedicated to languages (grades 7-8),education
CDIS methodology,countries,UN culture,Education,wellbeing,4A92B6,Arts education (desciptive),Percentage of instructional hours dedicated to arts education in relation to the total number of instructional hours (grades 7-8),"education, culture"
CDIS methodology,countries,UN culture,Education,wellbeing,4A92B7,Professional training,"Index of coherency and coverage of technical and vocational education and training (TVET) and tertiary education in the field of culture, by survey","education, culture"
CDIS methodology,countries,UN culture,Economy,finance,4A92B8,Contribution of cultural activities to GDP (descriptive),Calculate added value: GVA = GPV - IC,government
CDIS methodology,countries,UN culture,Economy,finance,4A92B9,Contribution of cultural activities to GDP (descriptive),Calculate the ratio of cultural activities within national gross domestic product,"culture, government, public_investment"
CDIS methodology,countries,UN culture,Economy,finance,4A92B10,cultural employment (descriptive),Number of persons engaged in cultural and creative employment,"culture, demographic"
CDIS methodology,countries,UN culture,Economy,finance,4A92B11,cultural employment (descriptive),Ratio of persons with cultural occupations within total employed population,"culture, demographic"
CDIS methodology,countries,UN culture,Economy,finance,355D69,Household expenditure on culture (descriptive),Calculation of household final consumption expenditures on cultural goods and services,"culture, household_expenditure"
CDIS methodology,countries,UN culture,Economy,finance,355D70,Household expenditure on culture (descriptive),Calculation of household final consumption expenditures on cultural good and services set against total household final consumption expenditures,"culture, household_expenditure"
CDIS methodology,countries,UN culture,Governance,culture,355D69,Standard-setting framework,"Index of development of the standard-setting framework for the protection and promtion of culture, cultural rights and cultural diversity, by data table","government, culture"
CDIS methodology,countries,UN culture,Governance,culture,355D69,Policy and institutional framework,"Index of development of the policy and institutional framework for the protection and promotion of culture, cultural rights and cultural diversity, by checklist","government, policy, culture"
CDIS methodology,countries,UN culture,Governance,culture,355D69,Infrastructures (descriptive),"the name of the administrative division considered (name of the province, department or region concerned)",government
CDIS methodology,countries,UN culture,Governance,culture,355D69,Infrastructures (descriptive),numerical values for cultural infrastructures,"government, culture, infrastructure"
CDIS methodology,countries,UN culture,Governance,culture,355D69,Infrastructures (descriptive),the number of inhabitants,"government, infrastructure"
CDIS methodology,countries,UN culture,Governance,culture,355D69,Infrastructures (descriptive),the percentage of the country's total population living in each of the country's administrative divisions relative to the country's total population,demographic
CDIS methodology,countries,UN culture,Governance,culture,355D69,Infrastructures (descriptive),"the percentage of museums, libraries and media resource centres and venues didicated to the performing arts present in each of the country's administrative divisions as a share of all the country's museums, libraries and media resource centres and venues dedicated to the performing arts","culture, infrastructure, government"
CDIS methodology,countries,UN culture,Governance,culture,355D70,Civil society in governance,participation by organized representatives of minorities,"government, policy"
CDIS methodology,countries,UN culture,Governance,culture,355D69,Civil society in governance,participation by organized representatives of culture sector professionals,"government, policy, expert"
CDIS methodology,countries,UN culture,Social participation,culture,355D69,Going-out participation (descriptive),percentage of persons who attended movies/cinema/film festivals in the last 12 months,"culture, social"
CDIS methodology,countries,UN culture,Social participation,culture,355D69,Going-out participation (descriptive),percentage of persons who went to the theatre or a dance show in the last 12 months,"culture, social"
CDIS methodology,countries,UN culture,Social participation,culture,394000,Going-out participation (descriptive),percentage of persons who went to a concert or live musical performance in the last 12 months,"culture, social"
CDIS methodology,countries,UN culture,Social participation,culture,394000,Going-out participation (descriptive),percentage of persons who visited a historical/cultural park or a heritage site,"culture, social"
CDIS methodology,countries,UN culture,Social participation,culture,394000,Going-out participation (descriptive),"percentage of persons who visited a museum, an art gallery or a crafts exposition in the last 12 months","culture, social"
CDIS methodology,countries,UN culture,Social participation,culture,394000,Identity-building participation (descriptive),percentage of persons who attended a national or local festival in the last 12 months,"culture, social"
CDIS methodology,countries,UN culture,Social participation,culture,A2D1B2,Identity-building participation (descriptive),percentage of persons who participated in community celebrations of cultural/historic events,"culture, social"
CDIS methodology,countries,UN culture,Social participation,culture,A2D1B2,Identity-building participation (descriptive),percentage of persons who participated in community rites/events/ceremonies ,"culture, social"
CDIS methodology,countries,UN culture,Social participation,culture,A2D1B2,Tolerance of other cultures,people of a different race,social
CDIS methodology,countries,UN culture,Social participation,culture,A2D1B2,Tolerance of other cultures,immigrants/foreign workers,"social, labor"
CDIS methodology,countries,UN culture,Social participation,culture,A2D1B2,Tolerance of other cultures,people of different religion,social
CDIS methodology,countries,UN culture,Social participation,culture,A2D1B2,Interpersonal trust,"""generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people""",social
CDIS methodology,countries,UN culture,Social participation,culture,7DBFA3,Sefl-determination,Median score of perceived freedom of self-determimation,social
CDIS methodology,countries,UN culture,Heritage,culture,7DBFA3,Heritage sustainability,Registrations and inscriptions,heritage
CDIS methodology,countries,UN culture,Heritage,culture,7DBFA3,Heritage sustainability,"protection, safeguarding and management: conservation and valorization
, knowledge and capacity-building,community involvement","heritage, public_investment"
CDIS methodology,countries,UN culture,Heritage,culture,6EB7BD,Heritage sustainability,"Transmission and mobilization of support:
raising awareness and education, stimulating support","heritage, social, education, knowledge"
HDI technical note,global,HDI,Long and healthy life,wellbeing,42A6AE,life expectancy at birth,,health
HDI technical note,global,HDI,knowledge,wellbeing,42A6AE,mean years of schooling,,education
HDI technical note,global,HDI,knowledge,wellbeing,5FAFAA,expected years of schooling,,education
HDI technical note,global,HDI,a decent standard of living,wellbeing,44AFA9,GNI per capita,,personal_well_being
Indicators for local food system - IATP,city,well being,family,wellbeing,44AFA9,"what do your family's meals look like? When you cook, who cooks ?
",,"family, meal"
Indicators for local food system - IATP,city,well being,family,wellbeing,44AFA9,"In your country, did you eat together",,"family, meal"
Indicators for local food system - IATP,city,well being,family,wellbeing,44AFA9,How important is food to your conception of being well,,"personal_well_being, meal"
Indicators for local food system - IATP,city,well being,family,wellbeing,44AFA9,what are your dreams for your children,,family
Indicators for local food system - IATP,city,well being,family,wellbeing,5DBAA5,What does a typical lunch or dinner look like,,meal
Indicators for local food system - IATP,city,well being,Community engagement,wellbeing,5DBAA5,Contributions to their community,,social_participation
Indicators for local food system - IATP,city,well being,Community engagement,wellbeing,57B193,The ability to manage their own infrastructure and systems,,infrastructure
Indicators for local food system - IATP,city,well being,Management,wellbeing,57B193,"Producing healthier food and that people understand the difference 
between their products and conventional products",,product
Indicators for local food system - IATP,city,well being,Management,wellbeing,57B193,Land ownership,,"land, property"
Indicators for local food system - IATP,city,well being,Management,wellbeing,57B193,The ability to produce not only for the market also for themselves,,"farm_management, production, food_supply"
Indicators for local food system - IATP,city,well being,Management,wellbeing,57B193,having a sufficient rate of return,,income
Indicators for local food system - IATP,city,well being,Management,wellbeing,57B193,Resources for their children and greater time with their family,,family
Indicators for local food system - IATP,city,well being,Management,wellbeing,356057,Adatability to climate change,,farm_management
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,wellbeing,356057,Capacity to learn and self-organize,number of people interacting with information sharing mechanisms,education
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,wellbeing,356057,Capacity to learn and self-organize,"number of people participating in rural development organisations, including informal groups",social_participation
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,wellbeing,356057,asset abundance,number of people able to participate in the workface,farm_management
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,wellbeing,356057,asset abundance,number of people with increased farm asset base,property
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,wellbeing,356057,asset diversity,number of people with new on-farm / off-farm income streams,income
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,market,356057,asset abundance,number of people accessing market services,food_market
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,market,356057,asset diversity,number of people with increased number of farm enterprises (non-financial),investment
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,finance,356057,Engagement and responsive governance,number of people participating in local planning exercises,farm_management
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,finance,4B7C71,Engagement and responsive governance,number of people with positive perceptions of government accountability and transparancy,government
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,finance,4B7C71,asset abundance,number of people accessing financial services,financial_service
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,practice,4B7C71,production efficiency,number of people with increased efficiency of water use / product unit,water_use
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,practice,4B7C71,production efficiency,number of people with increased efficiency of land/product unit,"farm_management, production"
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,practice,4B7C71,production efficiency,number of people with increased efficiency of nutrient/product unit,"farm_management, production"
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,practice,4B7C71,production efficiency,number of people with increased efficiency of labor/product unit,"farm_management, labor, production"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,practice,4B7C71,regulating services,number of people with access to higher value water regulation services,"farm_management, water_use, regulation"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,practice,4B7C71,regulating services,number of people with access to higher value climate regulation services,"regulation, farm_management, climate"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,practice,4B7C71,regulating services,number of people with access to higher value of pollination services,"farm_management, pollination"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,practice,4B7C71,regulating services,number of people with access to higher value pest and predator control services,"farm_management, pest"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,practice,698D8B,"supporting, provisioning and cultural services",number of people with access to higher value soil formation services,"farm_management, soil"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,practice,698D8B,"supporting, provisioning and cultural services",number of people with access to higher value nutrient cycling services,"farm_management, waste"
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,science,698D8B,"awareness and knowledge of, and access to, locally relevant resilience-building approaches",number of people with increased awareness and knowledge of sustainable,knowledge
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,science,698D8B,"awareness and knowledge of, and access to, locally relevant resilience-building approaches",number of people who claim to have increased capacity to cope with risks,farm_management
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,science,698D8B,"awareness and knowledge of, and access to, locally relevant resilience-building approaches",number of people with improved hazard information,farm_management
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,science,698D8B,commitment of leadship,"number of people familiar with national, subnational or landscape-level visions, strategies or plans that address sustainability","knowledge, farm_management"
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,science,4B8F91,commitment of leadship,number of people in area covered by a sustainable management plan,farm_management
Land Management from the Saskatchewan Prairie Region,global,land management,security,wellbeing,4B8F91,economic status,,income
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,wellbeing,4B8F91,personal & family health,,"family, health"
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,wellbeing,4B8F91,viability of farming,,social
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,wellbeing,4B8F91,off-arm impacts,,social_participation
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,wellbeing,4B8F91,age level of community,,demographic
Land Management from the Saskatchewan Prairie Region,global,land management,viability,market,4B8F91,government programs,,government
Land Management from the Saskatchewan Prairie Region,global,land management,viability,market,4B8F91,organic market demands,,"food_market, product"
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,finance,3A696F,availability of services,,"social, public_investment"
Land Management from the Saskatchewan Prairie Region,global,land management,security,practice,3A696F,resource potential of land,,"resource, land"
Land Management from the Saskatchewan Prairie Region,global,land management,security,practice,3A696F,soil moisture at seeding,,soil
Land Management from the Saskatchewan Prairie Region,global,land management,protection,practice,3A696F,degradation risk,,"land, environment"
Land Management from the Saskatchewan Prairie Region,global,land management,protection,practice,3A696F,extent of crop cover,,land
Land Management from the Saskatchewan Prairie Region,global,land management,protection,practice,3A696F,degradation trends,,"land, environment"
Land Management from the Saskatchewan Prairie Region,global,land management,protection,practice,E5EDB4,extent of fallow,,land
Land Management from the Saskatchewan Prairie Region,global,land management,viability,practice,E5EDB4,cash flow/revenues,,income
Land Management from the Saskatchewan Prairie Region,global,land management,viability,practice,E5EDB4,presence of livestock,,livestock
Land Management from the Saskatchewan Prairie Region,global,land management,viability,practice,E5EDB4,management objectives,,farm_management
Land Management from the Saskatchewan Prairie Region,global,land management,viability,practice,A3CC89,extent of value added,,product
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,practice,A3CC89,Soil fertility trends,,"farm_management, soil"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,practice,A3CC89,crop yield response,,"farm_management, production"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,practice,A3CC89,availability of labor,,labor
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,practice,A3CC89,yield trends,,production
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,practice,A3CC89,crop variety availability & performance,,"farm_management, product, crop"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,practice,69BA8B,length of rotation,,"farm_management, land"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,practice,69BA8B,weed management,,"farm_management, crop"
Land Management from the Saskatchewan Prairie Region,global,land management,security,environment,69BA8B,weather trends,,weather
Land Management from the Saskatchewan Prairie Region,global,land management,security,environment,69BA8B,catastrophic weather / weather trends,,"climate, weather"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,science,69BA8B,adoption of new technologies & techniques,,"knowledge, farm_management"
Land Management from the Saskatchewan Prairie Region,global,land management,security,science,69BA8B,time required in mastering new techniques,,knowledge
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,science,8ECA9C,public awareness of organic farming,,"social, knowledge, product"
Sustainability Assessment from South East Asia,city,sustainability,economic viability,wellbeing,8ECA9C,size of land holding,,"land, property"
Sustainability Assessment from South East Asia,city,sustainability,social acceptability,wellbeing,5FA28A,land tenure,,"land, property"
Sustainability Assessment from South East Asia,city,sustainability,economic viability,wellbeing,5FA28A,net farm income,,income
Sustainability Assessment from South East Asia,city,sustainability,economic viability,wellbeing,FAF9D5,off farm income,,income
Sustainability Assessment from South East Asia,city,sustainability,risk management and security,practice,FAF9D5,income from livestock,,"livestock, income"
Sustainability Assessment from South East Asia,city,sustainability,conservation and protection,practice,FCE3BC,total soil eroded,,"land, soil"
Sustainability Assessment from South East Asia,city,sustainability,conservation and protection,practice,FCE3BC,cropping intensity and extent of protection,,"product, conservation, crop"
Sustainability Assessment from South East Asia,city,sustainability,economic viability,practice,FCE3BC,availability of farm labor,,labor
Sustainability Assessment from South East Asia,city,sustainability,productivity,practice,FCE3BC,yield,,production
Sustainability Assessment from South East Asia,city,sustainability,productivity,practice,F4C6A2,plant growth,,production
Sustainability Assessment from South East Asia,city,sustainability,risk management and security,environment,F4C6A2,drought frequency,,"weather, climate"
Sustainability Assessment from South East Asia,city,sustainability,social acceptability,science,AD7A6E,training in soil conservation,,"education, land"
A Checklist for Assessing Sustainability,global,sustainability,,wellbeing,AD7A6E,are off-site costs and benefits adequately addressed ?,,income
A Checklist for Assessing Sustainability,global,sustainability,,wellbeing,AD7A6E,are there opportunities for off-farm work in the region ?,,"social, social_service"
A Checklist for Assessing Sustainability,global,sustainability,,finance,AD7A6E,do national policies adversely affect the flexibility of local farmers to chose options they consider best for their production system ?,,"policy, farm_management"
A Checklist for Assessing Sustainability,global,sustainability,,finance,AD7A6E,are environmental and economic objectives fully integrated ?,,"environment, farm_management"
A Checklist for Assessing Sustainability,global,sustainability,,finance,AD7A6E,are objectives of donor agencies in harmony with national policy objectives of developing countries ?,,"policy, social_service"
A Checklist for Assessing Sustainability,global,sustainability,,practice,AD7A6E,are responsibilities for sustainable land and crop management being shared by all segments of society ?,,"social, farm_management"
A Checklist for Assessing Sustainability,global,sustainability,,practice,AD7A6E,are political and institutional structures in place to support the evolution towards sustainable land and crop management ?,,"public_investment, farm_management"
A Checklist for Assessing Sustainability,global,sustainability,,science,AD7A6E,are the technological options congruent (suitable) for the local soil and climate conditions ?,,"knowledge, climate, soil"
A Checklist for Assessing Sustainability,global,sustainability,,science,C48677,will the technological innovations ensure improved economic return for the farmer? the region ?,,"income, knowledge"
Measuring Agrcultural Sustainability (paper review),farm,,Social,wellbeing,C48677,the education level of the household members,,"education, demographic"
Measuring Agrcultural Sustainability (paper review),farm,,Social,wellbeing,C48677,housing facilities,,infrastructure
Measuring Agrcultural Sustainability (paper review),farm,,Social,wellbeing,C48677,work study,,social_service
Measuring Agrcultural Sustainability (paper review),farm,,Social,wellbeing,C48677,nutrirional/health status of the family members,,"health, family"
Measuring Agrcultural Sustainability (paper review),farm,,Social,wellbeing,C48677,improved decision making,,personal_well_being
Measuring Agrcultural Sustainability (paper review),farm,,Social,wellbeing,C48677,improved the quality of rural life,,personal_well_being
Measuring Agrcultural Sustainability (paper review),farm,,Social,wellbeing,C48677,woring and living conditions,,personal_well_being
Measuring Agrcultural Sustainability (paper review),farm,,Social,wellbeing,C48677,participation/socail capital,,"social, social_environment"
Measuring Agrcultural Sustainability (paper review),farm,,Social,wellbeing,B89989,social equity,,"social, equality"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,B89989,average of crop production,,"production, crop"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,B89989,expenses for input,,"resource, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,B89989,monetary income from outside the farm,,income
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,B89989,monetary income from the farm,,income
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,B89989,economic efficiency,,financial_service
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,B89989,profitability,,"income, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,B89989,the salaries paid to farm workers,,"labor, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,B89989,employment opportunities,,social_service
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,B89989,market availability,,food_market
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,B89989,land ownership,,"land, property"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,practice,C57B62,soil management,,"soil, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,improve water resource management,,"farm_management, water_use"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,"usage of pesticides, herbcides and fungicides",,"pest, environment"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,usage of animal/organic manures,,"farm_management, knowledge"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,usage of green manures,,"farm_management, knowledge"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,physical inputs and efficient use of input,,"resource, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,physical yield,,production
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,crop diversification,,"production, crop"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,use of alternative crop,,"production, crop"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,usage of fallow system,,"farm_management, seed"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,crop rotation,,"farm_management, rop"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,cropping pattern,,"farm_management, crop"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,trend of change in climatic conditions,,climate
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,usage of chemical fertilizer,,"fertilizer, environment"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,conservational tillage (no / minimum tillage),,"conservation, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,control erosion,,"conservation, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,microbial biomass with in the soil,,soil
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,cover crop / Mulch,,crop
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,protein level of crops,,"product, crop"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,practice,C57B62,integrated pest management,,"pest, environment, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,environment,C57B62,energy,,energy
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,environment,A35234,depth of groundwater table,,environment
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Social,market,A35234,food self sufficiency,,food_supply
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Social,market,A35234,equality in income and food distribution,,"equality, income, food_supply"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Social,finance,A35234,access to resources and support services,,"financial_service, social_service"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Economic,practice,6E3D2C,crop productivity,,"production,crop"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Economic,practice,6E3D2C,net farm income,,income
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Economic,practice,6E3D2C,benefit-cost ratio of production,,"income, farm_management"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Economic,practice,6E3D2C,per capita food grain production,,"farm_management, production"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,practice,8C5345,amount of fertilizers / pesticides used per unit of cropped land,,fertilizer
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,practice,8C5345,amount of irrigation water used per unit of cropped land,,water_use
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,practice,8C5345,soil nutrient content,,soil
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,practice,8C5345,depth of groundwater table,,environment
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,practice,8C5345,quality of groundwater for irrigation,,"environment, water_use"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,practice,8C5345,water use efficiency,,water_use
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,practice,8C5345,Nitrate content of groundwater and crops,,"environment, resource, crop"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Social,science,A94726,farmers' knowledge and awareness of resource conservation,,"conservation, knowledge"
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,wellbeing,A94726,Personal Consumption Expenditures,,household_expenditure
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,wellbeing,A94726,Income Inequality,,"income, equality"
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,wellbeing,A94726,Adjusted Personal Consumption,,household_expenditure
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,wellbeing,A94726,Cost of Underemployment,,labor
the Online Home of Maryland's Genuine Progress Indicator,state,,social,wellbeing,A94726,value of housework,,family
the Online Home of Maryland's Genuine Progress Indicator,state,,social,wellbeing,A94726,cost of family changes,,family
the Online Home of Maryland's Genuine Progress Indicator,state,,social,wellbeing,5D3A21,cost of crime,,"social, social_environment"
the Online Home of Maryland's Genuine Progress Indicator,state,,social,wellbeing,5D3A21,value of volunteer work,,social_participation
the Online Home of Maryland's Genuine Progress Indicator,state,,social,wellbeing,5D3A21,cost of lost leisure time,,personal_well_being
the Online Home of Maryland's Genuine Progress Indicator,state,,social,wellbeing,5D3A21,value of higher education,,education
