paper,scope,theme,dimension,hexcode,markers,sub_Markers,hashtag
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,596480,Nutrients,Nutrient input balances on agriculturla land (i.e. difference between nitrogen and phosphorus inputs and outputs) (kilograms of N and P per hectare of agricultural land ),"land, soil"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,596480,Nutrients,Fertilizer applied per unit of arable land (tons of nutrients oer hectare of arable land),fertilizer
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,596480,Pesticides,Pesticide use per unit of cropland (tons of active ingredient applied per hectare),"pest, environment"
world happiness report,global,UN happiness,Economy,377B99,GDP per capita,,government
world happiness report,global,UN happiness,Health,E0F1ED,healthy years of life expectancy,,personal_well_being
world happiness report,global,UN happiness,social environment,CDEAE6,social support,measured by having someone to count on it times of trouble,social
world happiness report,global,UN happiness,social environment,CDEAE6,trust,measured by a perceived absence of corruption in government and business,social
world happiness report,global,UN happiness,social environment,CDEAE6,perceived freedom to make life decisions,,social
world happiness report,global,UN happiness,social environment,CDEAE6,generosity,measured by recent donations,social
CDIS methodology,countries,UN culture,Economy,87CAD2,Contribution of cultural activities to GDP (descriptive),Calculate added value: GVA = GPV - IC,government
CDIS methodology,countries,UN culture,Economy,87CAD2,Contribution of cultural activities to GDP (descriptive),Calculate the ratio of cultural activities within national gross domestic product,"culture, government, public_investment"
CDIS methodology,countries,UN culture,Economy,87CAD2,cultural employment (descriptive),Number of persons engaged in cultural and creative employment,"culture, demographic"
CDIS methodology,countries,UN culture,Economy,87CAD2,cultural employment (descriptive),Ratio of persons with cultural occupations within total employed population,"culture, demographic"
CDIS methodology,countries,UN culture,Economy,87CAD2,Household expenditure on culture (descriptive),Calculation of household final consumption expenditures on cultural goods and services,"culture, household_expenditure"
CDIS methodology,countries,UN culture,Economy,87CAD2,Household expenditure on culture (descriptive),Calculation of household final consumption expenditures on cultural good and services set against total household final consumption expenditures,"culture, household_expenditure"
CDIS methodology,countries,UN culture,Education,5EB4CA,Inclusive Education,"Index of average years of schooling of the population between the ages of 17 and 22, adjusted to reflect inequalities","education, equality"
CDIS methodology,countries,UN culture,Education,5EB4CA,Multilingual education (descriptive),Percentage of instructional hours dedicated to promoting multilingualism in relation to the total number of instructional hours dedicated to languages (grades 7-8),education
CDIS methodology,countries,UN culture,Education,5EB4CA,Arts education (desciptive),Percentage of instructional hours dedicated to arts education in relation to the total number of instructional hours (grades 7-8),"education, culture"
CDIS methodology,countries,UN culture,Education,5EB4CA,Professional training,"Index of coherency and coverage of technical and vocational education and training (TVET) and tertiary education in the field of culture, by survey","education, culture"
CDIS methodology,countries,UN culture,Governance,4A92B3,Standard-setting framework,"Index of development of the standard-setting framework for the protection and promtion of culture, cultural rights and cultural diversity, by data table","government, culture"
CDIS methodology,countries,UN culture,Governance,4A92B3,Policy and institutional framework,"Index of development of the policy and institutional framework for the protection and promotion of culture, cultural rights and cultural diversity, by checklist","government, policy, culture"
CDIS methodology,countries,UN culture,Governance,4A92B3,Infrastructures (descriptive),"the name of the administrative division considered (name of the province, department or region concerned)",government
CDIS methodology,countries,UN culture,Governance,4A92B3,Infrastructures (descriptive),numerical values for cultural infrastructures,"government, culture, infrastructure"
CDIS methodology,countries,UN culture,Governance,4A92B3,Infrastructures (descriptive),the number of inhabitants,"government, infrastructure"
CDIS methodology,countries,UN culture,Governance,4A92B3,Infrastructures (descriptive),the percentage of the country's total population living in each of the country's administrative divisions relative to the country's total population,demographic
CDIS methodology,countries,UN culture,Governance,4A92B3,Infrastructures (descriptive),"the percentage of museums, libraries and media resource centres and venues didicated to the performing arts present in each of the country's administrative divisions as a share of all the country's museums, libraries and media resource centres and venues dedicated to the performing arts","culture, infrastructure, government"
CDIS methodology,countries,UN culture,Governance,4A92B3,Civil society in governance,participation by organized representatives of minorities,"government, policy"
CDIS methodology,countries,UN culture,Governance,4A92B3,Civil society in governance,participation by organized representatives of culture sector professionals,"government, policy, expert"
CDIS methodology,countries,UN culture,Social participation,355D69,Going-out participation (descriptive),percentage of persons who attended movies/cinema/film festivals in the last 12 months,"culture, social"
CDIS methodology,countries,UN culture,Social participation,355D69,Going-out participation (descriptive),percentage of persons who went to the theatre or a dance show in the last 12 months,"culture, social"
CDIS methodology,countries,UN culture,Social participation,355D69,Going-out participation (descriptive),percentage of persons who went to a concert or live musical performance in the last 12 months,"culture, social"
CDIS methodology,countries,UN culture,Social participation,355D69,Going-out participation (descriptive),percentage of persons who visited a historical/cultural park or a heritage site,"culture, social"
CDIS methodology,countries,UN culture,Social participation,355D69,Going-out participation (descriptive),"percentage of persons who visited a museum, an art gallery or a crafts exposition in the last 12 months","culture, social"
CDIS methodology,countries,UN culture,Social participation,355D69,Identity-building participation (descriptive),percentage of persons who attended a national or local festival in the last 12 months,"culture, social"
CDIS methodology,countries,UN culture,Social participation,355D69,Identity-building participation (descriptive),percentage of persons who participated in community celebrations of cultural/historic events,"culture, social"
CDIS methodology,countries,UN culture,Social participation,355D69,Identity-building participation (descriptive),percentage of persons who participated in community rites/events/ceremonies ,"culture, social"
CDIS methodology,countries,UN culture,Social participation,355D69,Tolerance of other cultures,people of a different race,social
CDIS methodology,countries,UN culture,Social participation,355D69,Tolerance of other cultures,immigrants/foreign workers,"social, labor"
CDIS methodology,countries,UN culture,Social participation,355D69,Tolerance of other cultures,people of different religion,social
CDIS methodology,countries,UN culture,Social participation,355D69,Interpersonal trust,"""generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people""",social
CDIS methodology,countries,UN culture,Social participation,355D69,Sefl-determination,Median score of perceived freedom of self-determimation,social
CDIS methodology,countries,UN culture,Gender,394E70,Gender equality outputs,"Index of the gaps between women and men in political, education and labor domains and in gender-equity legislative frameworks (objective outputs):","equality, social"
CDIS methodology,countries,UN culture,Gender,394E71,Perception of gender equality (descriptive),when jobs are scarce: men should have more right to a job than women,"equality, social"
CDIS methodology,countries,UN culture,Gender,394E72,Perception of gender equality (descriptive),Men make better political leaders than women do,"equality, social"
CDIS methodology,countries,UN culture,Gender,394E73,Perception of gender equality (descriptive),university is more important for a boy than for a girl,"equality, social"
CDIS methodology,countries,UN culture,Communication,A2D1B2,Freedom of expression,"the overall ""press freddom score""",social
CDIS methodology,countries,UN culture,Communication,A2D1B2,Freedom of expression,"the three scores of your country for the categories of legal, policical and economic environemnt",social
CDIS methodology,countries,UN culture,Communication,A2D1B2,Access and Internet use,Percentage of individuals using the Internet,infrastructure
CDIS methodology,countries,UN culture,Communication,A2D1B2,Diversity of media content (descriptive),total number of broadcasting hours dedicated to domestic fiction programmes on national public TV channels,media
CDIS methodology,countries,UN culture,Communication,A2D1B2,Diversity of media content (descriptive),total number of broadcasting hours dedicated to co-produced fiction programmes on national public TV channels,media
CDIS methodology,countries,UN culture,Communication,A2D1B2,Diversity of media content (descriptive),total number of broadcasting hours dedicated to foreign fiction programmes on national public TV channels,media
CDIS methodology,countries,UN culture,Heritage,7DBFA3,Heritage sustainability,Registrations and inscriptions,heritage
CDIS methodology,countries,UN culture,Heritage,7DBFA3,Heritage sustainability,"protection, safeguarding and management: conservation and valorization
, knowledge and capacity-building,community involvement","heritage, public_investment"
CDIS methodology,countries,UN culture,Heritage,7DBFA3,Heritage sustainability,"Transmission and mobilization of support:
raising awareness and education, stimulating support","heritage, social, education, knowledge"
HDI technical note,global,HDI,Long and healthy life,6EB7BD,life expectancy at birth,,health
HDI technical note,global,HDI,knowledge,42A6AE,mean years of schooling,,education
HDI technical note,global,HDI,knowledge,42A6AE,expected years of schooling,,education
HDI technical note,global,HDI,a decent standard of living,5FAFAA,GNI per capita,,personal_well_being
Indicators for local food system - IATP,city,well being,family,44AFA9,"what do your family's meals look like? When you cook, who cooks ?
",,"family, meal"
Indicators for local food system - IATP,city,well being,family,44AFA9,"In your country, did you eat together",,"family, meal"
Indicators for local food system - IATP,city,well being,family,44AFA9,How important is food to your conception of being well,,"personal_well_being, meal"
Indicators for local food system - IATP,city,well being,family,44AFA9,what are your dreams for your children,,family
Indicators for local food system - IATP,city,well being,family,44AFA9,What does a typical lunch or dinner look like,,meal
Indicators for local food system - IATP,city,well being,Community engagement,5DBAA5,Contributions to their community,,social_participation
Indicators for local food system - IATP,city,well being,Community engagement,5DBAA5,The ability to manage their own infrastructure and systems,,infrastructure
Indicators for local food system - IATP,city,well being,Management,57B193,"Producing healthier food and that people understand the difference 
between their products and conventional products",,product
Indicators for local food system - IATP,city,well being,Management,57B193,Land ownership,,"land, property"
Indicators for local food system - IATP,city,well being,Management,57B193,The ability to produce not only for the market also for themselves,,"farm_management, production, food_supply"
Indicators for local food system - IATP,city,well being,Management,57B193,having a sufficient rate of return,,income
Indicators for local food system - IATP,city,well being,Management,57B193,Resources for their children and greater time with their family,,family
Indicators for local food system - IATP,city,well being,Management,57B193,Adatability to climate change,,farm_management
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,356057,"awareness and knowledge of, and access to, locally relevant resilience-building approaches",number of people with increased awareness and knowledge of sustainable,knowledge
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,356057,"awareness and knowledge of, and access to, locally relevant resilience-building approaches",number of people who claim to have increased capacity to cope with risks,farm_management
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,356057,"awareness and knowledge of, and access to, locally relevant resilience-building approaches",number of people with improved hazard information,farm_management
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,356057,commitment of leadship,"number of people familiar with national, subnational or landscape-level visions, strategies or plans that address sustainability","knowledge, farm_management"
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,356057,commitment of leadship,number of people in area covered by a sustainable management plan,farm_management
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,356057,Capacity to learn and self-organize,number of people interacting with information sharing mechanisms,education
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,356057,Capacity to learn and self-organize,"number of people participating in rural development organisations, including informal groups",social_participation
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,356057,Engagement and responsive governance,number of people participating in local planning exercises,farm_management
A Monitoring Instrument for Resillience,global,resilience,increasing capacity of people to adapt,356057,Engagement and responsive governance,number of people with positive perceptions of government accountability and transparancy,government
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,4B7C71,asset abundance,number of people able to participate in the workface,farm_management
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,4B7C71,asset abundance,number of people accessing financial services,financial_service
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,4B7C71,asset abundance,number of people accessing market services,food_market
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,4B7C71,asset abundance,number of people with increased farm asset base,property
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,4B7C71,asset diversity,number of people with new on-farm / off-farm income streams,income
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,4B7C71,asset diversity,number of people with increased number of farm enterprises (non-financial),investment
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,4B7C71,production efficiency,number of people with increased efficiency of water use / product unit,water_use
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,4B7C71,production efficiency,number of people with increased efficiency of land/product unit,"farm_management, production"
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,4B7C71,production efficiency,number of people with increased efficiency of nutrient/product unit,"farm_management, production"
A Monitoring Instrument for Resillience,global,resilience,enhanced livelihoods and farm functioning,4B7C71,production efficiency,number of people with increased efficiency of labor/product unit,"farm_management, labor, production"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,698D8B,regulating services,number of people with access to higher value water regulation services,"farm_management, water_use, regulation"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,698D8B,regulating services,number of people with access to higher value climate regulation services,"regulation, farm_management, climate"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,698D8B,regulating services,number of people with access to higher value of pollination services,"farm_management, pollination"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,698D8B,regulating services,number of people with access to higher value pest and predator control services,"farm_management, pest"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,698D8B,"supporting, provisioning and cultural services",number of people with access to higher value soil formation services,"farm_management, soil"
A Monitoring Instrument for Resillience,global,resilience,ecosystem service that foster resilience,698D8B,"supporting, provisioning and cultural services",number of people with access to higher value nutrient cycling services,"farm_management, waste"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,4B8F91,Soil fertility trends,,"farm_management, soil"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,4B8F91,crop yield response,,"farm_management, production"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,4B8F91,availability of labor,,labor
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,4B8F91,yield trends,,production
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,4B8F91,adoption of new technologies & techniques,,"knowledge, farm_management"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,4B8F91,crop variety availability & performance,,"farm_management, product, crop"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,4B8F91,length of rotation,,"farm_management, land"
Land Management from the Saskatchewan Prairie Region,global,land management,Productivity,4B8F91,weed management,,"farm_management, crop"
Land Management from the Saskatchewan Prairie Region,global,land management,security,3A696F,economic status,,income
Land Management from the Saskatchewan Prairie Region,global,land management,security,3A696F,weather trends,,weather
Land Management from the Saskatchewan Prairie Region,global,land management,security,3A696F,time required in mastering new techniques,,knowledge
Land Management from the Saskatchewan Prairie Region,global,land management,security,3A696F,catastrophic weather / weather trends,,"climate, weather"
Land Management from the Saskatchewan Prairie Region,global,land management,security,3A696F,resource potential of land,,"resource, land"
Land Management from the Saskatchewan Prairie Region,global,land management,security,3A696F,soil moisture at seeding,,soil
Land Management from the Saskatchewan Prairie Region,global,land management,protection,E5EDB4,degradation risk,,"land, environment"
Land Management from the Saskatchewan Prairie Region,global,land management,protection,E5EDB4,extent of crop cover,,land
Land Management from the Saskatchewan Prairie Region,global,land management,protection,E5EDB4,degradation trends,,"land, environment"
Land Management from the Saskatchewan Prairie Region,global,land management,protection,E5EDB4,extent of fallow,,land
Land Management from the Saskatchewan Prairie Region,global,land management,viability,A3CC89,cash flow/revenues,,income
Land Management from the Saskatchewan Prairie Region,global,land management,viability,A3CC89,presence of livestock,,livestock
Land Management from the Saskatchewan Prairie Region,global,land management,viability,A3CC89,management objectives,,farm_management
Land Management from the Saskatchewan Prairie Region,global,land management,viability,A3CC89,government programs,,government
Land Management from the Saskatchewan Prairie Region,global,land management,viability,A3CC89,organic market demands,,"food_market, product"
Land Management from the Saskatchewan Prairie Region,global,land management,viability,A3CC89,extent of value added,,product
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,69BA8B,personal & family health,,"family, health"
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,69BA8B,viability of farming,,social
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,69BA8B,availability of services,,"social, public_investment"
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,69BA8B,off-arm impacts,,social_participation
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,69BA8B,public awareness of organic farming,,"social, knowledge, product"
Land Management from the Saskatchewan Prairie Region,global,land management,acceptability,69BA8B,age level of community,,demographic
Sustainability Assessment from South East Asia,city,sustainability,productivity,8ECA9C,yield,,production
Sustainability Assessment from South East Asia,city,sustainability,productivity,8ECA9C,plant growth,,production
Sustainability Assessment from South East Asia,city,sustainability,risk management and security,5FA28A,drought frequency,,"weather, climate"
Sustainability Assessment from South East Asia,city,sustainability,risk management and security,5FA28A,income from livestock,,"livestock, income"
Sustainability Assessment from South East Asia,city,sustainability,conservation and protection,FAF9D5,total soil eroded,,"land, soil"
Sustainability Assessment from South East Asia,city,sustainability,conservation and protection,FAF9D5,cropping intensity and extent of protection,,"product, conservation, crop"
Sustainability Assessment from South East Asia,city,sustainability,economic viability,FCE3BC,net farm income,,income
Sustainability Assessment from South East Asia,city,sustainability,economic viability,FCE3BC,off farm income,,income
Sustainability Assessment from South East Asia,city,sustainability,economic viability,FCE3BC,availability of farm labor,,labor
Sustainability Assessment from South East Asia,city,sustainability,economic viability,FCE3BC,size of land holding,,"land, property"
Sustainability Assessment from South East Asia,city,sustainability,social acceptability,F4C6A2,land tenure,,"land, property"
Sustainability Assessment from South East Asia,city,sustainability,social acceptability,F4C6A2,training in soil conservation,,"education, land"
A Checklist for Assessing Sustainability,global,sustainability,,AD7A6E,do national policies adversely affect the flexibility of local farmers to chose options they consider best for their production system ?,,"policy, farm_management"
A Checklist for Assessing Sustainability,global,sustainability,,AD7A6E,are responsibilities for sustainable land and crop management being shared by all segments of society ?,,"social, farm_management"
A Checklist for Assessing Sustainability,global,sustainability,,AD7A6E,are environmental and economic objectives fully integrated ?,,"environment, farm_management"
A Checklist for Assessing Sustainability,global,sustainability,,AD7A6E,are off-site costs and benefits adequately addressed ?,,income
A Checklist for Assessing Sustainability,global,sustainability,,AD7A6E,are the technological options congruent (suitable) for the local soil and climate conditions ?,,"knowledge, climate, soil"
A Checklist for Assessing Sustainability,global,sustainability,,AD7A6E,will the technological innovations ensure improved economic return for the farmer? the region ?,,"income, knowledge"
A Checklist for Assessing Sustainability,global,sustainability,,AD7A6E,are there opportunities for off-farm work in the region ?,,"social, social_service"
A Checklist for Assessing Sustainability,global,sustainability,,AD7A6E,are political and institutional structures in place to support the evolution towards sustainable land and crop management ?,,"public_investment, farm_management"
A Checklist for Assessing Sustainability,global,sustainability,,AD7A6E,are objectives of donor agencies in harmony with national policy objectives of developing countries ?,,"policy, social_service"
Measuring Agrcultural Sustainability (paper review),farm,,Social,C48677,the education level of the household members,,"education, demographic"
Measuring Agrcultural Sustainability (paper review),farm,,Social,C48677,housing facilities,,infrastructure
Measuring Agrcultural Sustainability (paper review),farm,,Social,C48677,work study,,social_service
Measuring Agrcultural Sustainability (paper review),farm,,Social,C48677,nutrirional/health status of the family members,,"health, family"
Measuring Agrcultural Sustainability (paper review),farm,,Social,C48677,improved decision making,,personal_well_being
Measuring Agrcultural Sustainability (paper review),farm,,Social,C48677,improved the quality of rural life,,personal_well_being
Measuring Agrcultural Sustainability (paper review),farm,,Social,C48677,woring and living conditions,,personal_well_being
Measuring Agrcultural Sustainability (paper review),farm,,Social,C48677,participation/socail capital,,"social, social_environment"
Measuring Agrcultural Sustainability (paper review),farm,,Social,C48677,social equity,,"social, equality"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,average of crop production,,"production, crop"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,expenses for input,,"resource, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,monetary income from outside the farm,,income
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,monetary income from the farm,,income
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,economic efficiency,,financial_service
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,profitability,,"income, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,the salaries paid to farm workers,,"labor, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,employment opportunities,,social_service
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,market availability,,food_market
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,land ownership,,"land, property"
Measuring Agrcultural Sustainability (paper review),farm,,Economic,B89989,soil management,,"soil, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,improve water resource management,,"farm_management, water_use"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,"usage of pesticides, herbcides and fungicides",,"pest, environment"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,usage of animal/organic manures,,"farm_management, knowledge"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,usage of green manures,,"farm_management, knowledge"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,physical inputs and efficient use of input,,"resource, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,physical yield,,production
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,crop diversification,,"production, crop"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,use of alternative crop,,"production, crop"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,usage of fallow system,,"farm_management, seed"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,crop rotation,,"farm_management, rop"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,cropping pattern,,"farm_management, crop"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,trend of change in climatic conditions,,climate
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,usage of chemical fertilizer,,"fertilizer, environment"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,conservational tillage (no / minimum tillage),,"conservation, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,control erosion,,"conservation, farm_management"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,microbial biomass with in the soil,,soil
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,energy,,energy
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,cover crop / Mulch,,crop
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,depth of groundwater table,,environment
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,protein level of crops,,"product, crop"
Measuring Agrcultural Sustainability (paper review),farm,,Ecological,C57B62,integrated pest management,,"pest, environment, farm_management"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Economic,A35234,crop productivity,,"production,crop"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Economic,A35234,net farm income,,income
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Economic,A35234,benefit-cost ratio of production,,"income, farm_management"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Economic,A35234,per capita food grain production,,"farm_management, production"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Social,6E3D2C,food self sufficiency,,food_supply
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Social,6E3D2C,equality in income and food distribution,,"equality, income, food_supply"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Social,6E3D2C,access to resources and support services,,"financial_service, social_service"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Social,6E3D2C,farmers' knowledge and awareness of resource conservation,,"conservation, knowledge"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,8C5345,amount of fertilizers / pesticides used per unit of cropped land,,fertilizer
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,8C5345,amount of irrigation water used per unit of cropped land,,water_use
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,8C5345,soil nutrient content,,soil
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,8C5345,depth of groundwater table,,environment
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,8C5345,quality of groundwater for irrigation,,"environment, water_use"
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,8C5345,water use efficiency,,water_use
Operational Indicators for Measuring Agricultural Sustainability in Developing Countries,countries,,Ecological,8C5345,Nitrate content of groundwater and crops,,"environment, resource, crop"
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,A94726,Personal Consumption Expenditures,,household_expenditure
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,A94726,Income Inequality,,"income, equality"
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,A94726,Adjusted Personal Consumption,,household_expenditure
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,A94726,Service of Consumer Durables,,social_service
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,A94726,Cost of Consumer Durables,,household_expenditure
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,A94726,Cost of Underemployment,,labor
the Online Home of Maryland's Genuine Progress Indicator,state,,Economic,A94726,Net Captial Investment,,public_investment
the Online Home of Maryland's Genuine Progress Indicator,state,,Environmental,5D3A21,cost of water pollution,,environment
the Online Home of Maryland's Genuine Progress Indicator,state,,Environmental,5D3A21,cost of air pollution,,environment
the Online Home of Maryland's Genuine Progress Indicator,state,,Environmental,5D3A21,cost of noise pollution,,environment
the Online Home of Maryland's Genuine Progress Indicator,state,,Environmental,5D3A21,cost of net wetlands change,,environment
the Online Home of Maryland's Genuine Progress Indicator,state,,Environmental,5D3A21,cost of net farmland change,,environment
the Online Home of Maryland's Genuine Progress Indicator,state,,Environmental,5D3A21,cost of net forest cover change,,environment
the Online Home of Maryland's Genuine Progress Indicator,state,,Environmental,5D3A21,cost of climate change,,climate
the Online Home of Maryland's Genuine Progress Indicator,state,,Environmental,5D3A21,cost of ozone depletion,,climate
the Online Home of Maryland's Genuine Progress Indicator,state,,Environmental,5D3A21,cost of non-renewable energy resource depletion,,"environment, energy"
the Online Home of Maryland's Genuine Progress Indicator,state,,social,68481F,value of housework,,family
the Online Home of Maryland's Genuine Progress Indicator,state,,social,68481F,cost of family changes,,family
the Online Home of Maryland's Genuine Progress Indicator,state,,social,68481F,cost of crime,,"social, social_environment"
the Online Home of Maryland's Genuine Progress Indicator,state,,social,68481F,cost of personal pollution abatement,,"social, environment"
the Online Home of Maryland's Genuine Progress Indicator,state,,social,68481F,value of volunteer work,,social_participation
the Online Home of Maryland's Genuine Progress Indicator,state,,social,68481F,cost of lost leisure time,,personal_well_being
the Online Home of Maryland's Genuine Progress Indicator,state,,social,68481F,value of higher education,,education
the Online Home of Maryland's Genuine Progress Indicator,state,,social,68481F,services of highways & streets,,infrastructure
the Online Home of Maryland's Genuine Progress Indicator,state,,social,68481F,cost of commuting,,infrastructure
the Online Home of Maryland's Genuine Progress Indicator,state,,social,68481F,cost of motor vehicle crashes,,infrastructure
Bhutan GNH,country,,Psychological well being,876443,life satisfaction,satisfaction with health,"health, personal_well_being"
Bhutan GNH,country,,Psychological well being,876443,life satisfaction,satisfaction with standard of living,personal_well_being
Bhutan GNH,country,,Psychological well being,876443,life satisfaction,satisfaction with occupation,personal_well_being
Bhutan GNH,country,,Psychological well being,876443,life satisfaction,satisfaction with family relationship,"family, personal_well_being"
Bhutan GNH,country,,Psychological well being,876443,life satisfaction,satisfaction with work life balance,personal_well_being
Bhutan GNH,country,,Psychological well being,876443,spirituality,spirituality level,religion
Bhutan GNH,country,,Psychological well being,876443,spirituality,taking account of Karma in daily life,religion
Bhutan GNH,country,,Psychological well being,876443,spirituality,prayer recitation,religion
Bhutan GNH,country,,Psychological well being,876443,spirituality,Meditation,religion
Bhutan GNH,country,,Psychological well being,876443,Positive emotion,Frequency of feelings of calmness,emotion
Bhutan GNH,country,,Psychological well being,876443,Positive emotion,Frequency of feelings of compassion,emotion
Bhutan GNH,country,,Psychological well being,876443,Positive emotion,Frequency of feelings of forgiveness,emotion
Bhutan GNH,country,,Psychological well being,876443,Positive emotion,Frequency of feelings of contentment,emotion
Bhutan GNH,country,,Psychological well being,876443,Positive emotion,Frequency of feelings of generosity,emotion
Bhutan GNH,country,,Psychological well being,876443,Negative emotion,Frequency of feelings of selfishness,emotion
Bhutan GNH,country,,Psychological well being,876443,Negative emotion,Frequency of feelings of jealousy,emotion
Bhutan GNH,country,,Psychological well being,876443,Negative emotion,Frequency of feelings of fear,emotion
